,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
San Luis Obispo County,San Luis Obispo County,GPE,-0.05263158,0.19736842,en,1.90000000,4342348-6,5392323,P,35.28275000,-120.65962000,NORTH-AMERICA,United States,WNA
Pacific,Pacific,LOC,-0.10056391,0.43577694,en,1.90000000,,12217089,L,8.62000000,-170.11000000,PACIFIC,,NPO
United States,United States,GPE,0.07017544,0.45175439,en,1.90000000,,6255150,L,-14.60485000,-57.65625000,SOUTH-AMERICA,Brazil,SAM
Hawaii,Hawaii,GPE,0.13157895,0.13157895,en,1.90000000,251184-8,5855797,A,20.78785000,-156.38612000,PACIFIC,United States,NPO
Maricopa County,Maricopa County,GPE,-0.42105263,0.73684211,en,1.90000000,4106832-4,5313457,P,33.50921000,-111.89903000,CENTRAL-AMERICA,United States,NCA
the Caribbean Sea,the Caribbean Sea,LOC,0.11111111,0.27777778,en,1.80000000,4051667-2,3448439,P,-23.54750000,-46.63611000,SOUTH-AMERICA,Brazil,SES
TAIPEI,TAIPEI,GPE,0.12885154,0.49579832,en,1.70000000,4078134-3,1668341,P,25.05306000,121.52639000,ASIA,Taiwan,EAS
Typhoon Fung-wong,Typhoon Fung-wong,GPE,0.12797619,0.27678571,en,1.60000000,,0,,,,,,
Miami,Miami,GPE,-0.09375000,0.40625000,en,1.60000000,4039108-5,4164138,P,25.77427000,-80.19366000,NORTH-AMERICA,United States,ENA
New Orleans,New Orleans,GPE,-0.02840909,0.58238636,en,1.60000000,4042008-5,4335045,P,29.95465000,-90.07507000,NORTH-AMERICA,United States,CNA
CUBA,CUBA,GPE,0.22448980,0.55612245,en,1.40000000,4033340-1,3562981,A,22.00000000,-79.50000000,CENTRAL-AMERICA,Cuba,CAR
the Dominican Republic,the Dominican Republic,GPE,0.00000000,0.00000000,en,1.40000000,,3651297,P,-0.25368000,-79.17628000,SOUTH-AMERICA,Ecuador,NWS
Kingston,Kingston,GPE,-0.46153846,0.46153846,en,1.30000000,4198339-7,3489854,P,17.99702000,-76.79358000,CENTRAL-AMERICA,Jamaica,CAR
China,China,GPE,0.25000000,0.45000000,en,1.00000000,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
the United States of America,the United States of America,GPE,-0.20000000,0.50000000,en,1.00000000,,11887752,L,33.45876000,-90.15081000,NORTH-AMERICA,United States,CNA
Sydney,Sydney,GPE,0.31238095,0.41142857,en,1.00000000,4058708-3,2147714,P,-33.86785000,151.20732000,OCEANIA,Australia,EAU
Missouri,Missouri,GPE,-0.16250000,0.43750000,en,1.00000000,4039591-1,4398678,A,38.25031000,-92.50046000,NORTH-AMERICA,United States,CNA
SAN DIEGO,SAN DIEGO,GPE,-0.02857143,0.39047619,en,1.00000000,4269521-1,5391811,P,32.71571000,-117.16472000,CENTRAL-AMERICA,United States,NCA
Kilauea,Kilauea,GPE,0.25000000,0.25000000,en,1.00000000,4241215-8,5849346,P,22.21208000,-159.41342000,PACIFIC,United States,NPO
Iowa,Iowa,GPE,0.92500000,1.25000000,en,1.00000000,4109226-0,4862182,A,42.00027000,-93.50049000,NORTH-AMERICA,United States,CNA
aurora activity,aurora activity,GPE,0.00000000,0.06666667,en,1.00000000,,0,,,,,,
aurora borealis,aurora borealis,LOC,0.37500000,0.55000000,en,1.00000000,,8125128,S,58.59278000,-134.86278000,NORTH-AMERICA,United States,NWN
Taipei,Taipei,GPE,0.24444444,0.57777778,en,1.00000000,4078134-3,1668341,P,25.05306000,121.52639000,ASIA,Taiwan,EAS
Albufeira Camping Park,Albufeira Camping Park,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
NEW YORK Space,NEW YORK Space,GPE,0.20075758,0.34696970,en,1.00000000,,7156152,L,40.82222000,-73.86000000,NORTH-AMERICA,United States,ENA
Ukraine,Ukraine,GPE,0.25000000,0.45000000,en,1.00000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Nebraska,Nebraska,GPE,0.13333333,0.60833333,en,1.00000000,4117792-7,5073708,A,41.50028000,-99.75067000,NORTH-AMERICA,United States,CNA
Los Angeles',Los Angeles',GPE,0.00000000,0.00000000,en,1.00000000,4036361-2,5368361,P,34.05223000,-118.24368000,NORTH-AMERICA,United States,WNA
the National Oceanic,the National Oceanic,LOC,0.13333333,0.60833333,en,1.00000000,,4775488,S,38.97539000,-77.48166000,NORTH-AMERICA,United States,ENA
the United Kingdom,the United Kingdom,GPE,-0.20000000,0.50000000,en,1.00000000,4022153-2,2635167,A,54.75844000,-2.69531000,EUROPE,United Kingdom,NEU
New York City,New York City,GPE,0.58371212,1.37765152,en,1.00000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
the aurora borealis,the aurora borealis,LOC,0.23825758,0.62613636,en,1.00000000,,8125128,S,58.59278000,-134.86278000,NORTH-AMERICA,United States,NWN
Northern,Northern,LOC,0.50000000,0.90000000,en,1.00000000,,7729890,L,54.77535000,-105.64453000,NORTH-AMERICA,Canada,NWN
the Northern Hemisphere,the Northern Hemisphere,LOC,0.27777778,0.58888889,en,1.00000000,,0,,,,,,
Southwest,Southwest,LOC,-0.04285714,0.41428571,en,1.00000000,,12503510,A,-0.87125000,131.28162000,ASIA,Indonesia,SEA
